"","Prefix","Level","Semester","Competency","Student.Work","Form","PT1","SCI1","PT2","SCI2","PT3","SCI3","PT4","SCI4","Total","Mean","file"
"167","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",4
"168","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",88,"4",NA,"",NA,"",NA,"","4","4",4
"169","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",4
"170","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",4
"171","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",4
"172","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",4
"173","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",4
"174","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",82,"3",NA,"",NA,"",NA,"","3","3",4
"175","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",62,"2",NA,"",NA,"",NA,"","2","2",4
"176","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"177","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",94,"4",NA,"",NA,"",NA,"","4","4",4
"178","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",94,"4",NA,"",NA,"",NA,"","4","4",4
"179","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",90,"4",NA,"",NA,"",NA,"","4","4",4
"180","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",66,"2",NA,"",NA,"",NA,"","2","2",4
"181","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",78,"3",NA,"",NA,"",NA,"","3","3",4
"182","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",4
"183","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",68,"2",NA,"",NA,"",NA,"","2","2",4
"184","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",86,"4",NA,"",NA,"",NA,"","4","4",4
"185","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",40,"0",NA,"",NA,"",NA,"","0","0",4
"186","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"187","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",84,"3",NA,"",NA,"",NA,"","3","3",4
"188","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",56,"1",NA,"",NA,"",NA,"","1","1",4
"189","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",66,"2",NA,"",NA,"",NA,"","2","2",4
"190","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",78,"3",NA,"",NA,"",NA,"","3","3",4
"191","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",80,"3",NA,"",NA,"",NA,"","3","3",4
"192","BIOL","200","Spring 2011","Natural Sciences","a selected response exam","Score",76,"3",NA,"",NA,"",NA,"","3","3",4
